Equipment,Family_type,Scaling_quantity,Unit,Min_Scale,Max_Scale,Min_Cost,Max_Cost,Scaling_Factor,CEPCI
Utilities,packaged mechanical refrigerator,evaporator duty,kW,50,1500,125818,2258916,0.85,509.70
Utilities,water ion exchange plant,flow ,m³/h,1,50,17400,113536,0.48,509.70
Fan,"centrifugal, radial bladed, 2.5 kPa-g, excl. motor, starter, gearing (carbon steel)","centrifugal, radial bladed, 2.5 kPa-g, excl. motor, starter, gearing (carbon steel)",Nm3/s,2,100,4517,95506,0.78,1000.00
Fan,"centrifugal, radial bladed, 2.5 kPa-g, TEFC motor, starter, gearing","centrifugal, radial bladed, 2.5 kPa-g, TEFC motor, starter, gearing",Nm3/s,2,50,6212,123967,0.93,1000.00
Fan,"vane-axial, 0.5 kPa-g, open drip proof motor","vane-axial, 0.5 kPa-g, open drip proof motor",Nm3/s,0.5,10,3896,11454,0.36,1000.00
Fan,"propeller, including motor and housing (small)","propeller, including motor and housing (small)",Nm3/s,0.5,7,866,4000,0.58,1000.00
Fan,"propeller, including motor and housing (large)","propeller, including motor and housing (large)",Nm3/s,7,50,4000,8118,0.36,1000.00
Fan unit,"air conditioning package with two fans, integral piping, etc.","air conditioning package with two fans, integral piping, etc.",Nm3/s,0.8,8,19799,92606,0.67,1000.00
Fan unit,"air conditioning package with two fans, integral piping, etc. (large)","air conditioning package with two fans, integral piping, etc. (large)",Nm3/s,15,120,262584,1706279,0.9,1000.00
Blower,"centrifugal, cast iron, 28 kPa g, motor and drive","centrifugal, cast iron, 28 kPa g, motor and drive",Nm3/s,12,70,434580,1274323,0.61,1000.00
Blower,"rotary lobe, cast iron, 70 kPa g, drip proof motor and drive, single stage","rotary lobe, cast iron, 70 kPa g, drip proof motor and drive, single stage",kW,4,60,8254,36602,0.55,1000.00
Blower,"rotary sliding vane, 275 kPa g, with lubricator, coupling and base but excluding motor and drive","rotary sliding vane, 275 kPa g, with lubricator, coupling and base but excluding motor and drive",Nm3/s,0,0.4,11943,52233,0.4,1000.00
Compressor,"centrifugal, less than 7 MPa, cast steel with drip proof induction motor, starter, base plate, gearing and lube system","centrifugal, less than 7 MPa, cast steel with drip proof induction motor, starter, base plate, gearing and lube system",kW,2,4000,5026,4700973,0.9,1000.00
Compressor,"centrifugal, less than 7 MPa, cast steel with drip proof induction motor, starter, base plate, gearing and lube system (large)","centrifugal, less than 7 MPa, cast steel with drip proof induction motor, starter, base plate, gearing and lube system (large)",kW,8000,25000,8790855,19741249,0.71,1000.00
Compressor,"centrifugal, 7 MPa, cast steel with base plate, excluding motor, starter, gearing and lube system","centrifugal, 7 MPa, cast steel with base plate, excluding motor, starter, gearing and lube system",kW,500,4000,605985,1824315,0.53,1000.00
Compressor,"axial 15-stage with steam turbine drive, base plate and lubrication","axial 15-stage with steam turbine drive, base plate and lubrication",kW,4000,20000,5912,50281,1.33,1000.00
Compressor,"helical screw with drip proof motor, starter, base plate, gearing and lube system","helical screw with drip proof motor, starter, base plate, gearing and lube system",kW,100,600,203850,810003,0.77,1000.00
Compressor,"reciprocating, less than 7 MPa with base plate, drip proof motor, starter, gearing, lube system and aftercooler","reciprocating, less than 7 MPa with base plate, drip proof motor, starter, gearing, lube system and aftercooler",kW,1,10000,4734,6843409,0.79,1000.00
Compressor,"reciprocating, less than 7 MPa with base plate, starter, gearing, lube system and aftercooler but excluding drip proof motor","reciprocating, less than 7 MPa with base plate, starter, gearing, lube system and aftercooler but excluding drip proof motor",kW,10,1000,5928,712711,1.04,1000.00
Compressor,"reciprocating, 0.86 MPa single stage with base plate, drip proof motor, starter, gearing and lube system","reciprocating, 0.86 MPa single stage with base plate, drip proof motor, starter, gearing and lube system",Nm3/s,0,5,3197,1321662,0.77,1000.00
Compressor,"reciprocating, 3.5 MPa double stage with base plate, drip proof motor, starter, gearing, intercooler and lube system","reciprocating, 3.5 MPa double stage with base plate, drip proof motor, starter, gearing, intercooler and lube system",Nm3/s,0,0.2,52829,144393,0.53,1000.00
Compressor station,"centrifugal or reciprocating, installed station, compressor, electric motor","centrifugal or reciprocating, installed station, compressor, electric motor",kW,150,2500,830432,5170182,0.65,1000.00
Compressor station,"centrifugal or reciprocating, installed station, compressor, electric motor (large)","centrifugal or reciprocating, installed station, compressor, electric motor (large)",kW,3000,13000,7749209,21628821,0.7,1000.00
Compressor station,"reciprocating, installed station, compressor, gas engine","reciprocating, installed station, compressor, gas engine",kW,150,2500,964114,7952707,0.75,1000.00
Compressor station,"reciprocating, installed station, compressor, gas engine","reciprocating, installed station, compressor, gas engine",kW,3000,13000,17220465,48064047,0.7,1000.00
Compressor station,"centrifugal or reciprocating installed station, compressor, steam or gas turbine","centrifugal or reciprocating installed station, compressor, steam or gas turbine",kW,150,2500,830432,5170182,0.65,1000.00
Compressor station,"centrifugal or reciprocating installed station, compressor, steam or gas turbine (large)","centrifugal or reciprocating installed station, compressor, steam or gas turbine (large)",kW,3000,13000,11193302,31241631,0.7,1000.00
Vacuum pump,"rotary vane, 10-15 kPa-abs, drip proof motor, base plate, gearing and reservoir","rotary vane, 10-15 kPa-abs, drip proof motor, base plate, gearing and reservoir",dm3/s,3,1670,4744,52418,0.38,1000.00
Vacuum pump,"rotary liquid piston, 10-15 kPa-abs, with base plate and reservoir but excluding motor","rotary liquid piston, 10-15 kPa-abs, with base plate and reservoir but excluding motor",dm3/s,85,5000,11563,226390,0.73,1000.00
Vacuum pump,"dry reciprocating, cast iron with TEFC motor, base plate, V-belt drive","dry reciprocating, cast iron with TEFC motor, base plate, V-belt drive",kPa-abs,0.1,80,2778,229004,0.66,1000.00
Vacuum pump,"dry reciprocating, cast iron with base plate, V-belt drive but excluding motor","dry reciprocating, cast iron with base plate, V-belt drive but excluding motor",kW,4,80,12055,168300,0.88,1000.00
Steam ejector,"system, single stage, 6-40 kPa-abs, steam pressure 0.7 MPa, ejector only","system, single stage, 6-40 kPa-abs, steam pressure 0.7 MPa, ejector only",kPa,0,750,255,33149,0.45,1000.00
Steam ejector,"system, two stage with barometric condenser, 1.3-13 kPa-abs, steam pressure .7 MPa, and 29 degrees Celsius water including two injectors, barometric condenser and interstage piping","system, two stage with barometric condenser, 1.3-13 kPa-abs, steam pressure .7 MPa, and 29 degrees Celsius water including two injectors, barometric condenser and interstage piping",kPa,0.7,20,8153,30139,0.39,1000.00
Steam ejector,"system, multistage with barometric condensers, 0.07ï¿½27 kPa-abs, steam pressure 0.7 MPa, and 29 degrees Celsius water including two ejectors, barometric condenser and interstage piping","system, multistage with barometric condensers, 0.07ï¿½27 kPa-abs, steam pressure 0.7 MPa, and 29 degrees Celsius water including two ejectors, barometric condenser and interstage piping",kPa,0.8,80,15545,46945,0.24,1000.00
Vacuum pump,"rotary piston oil-sealed, 0.015 kPa-abs, with base plate, drip proof motor, belt guard and drive","rotary piston oil-sealed, 0.015 kPa-abs, with base plate, drip proof motor, belt guard and drive",dm3/s,0.3,1700,1086,125893,0.55,1000.00
Vacuum pump,"generalized, including TEFC motor, base plate and belt drive","generalized, including TEFC motor, base plate and belt drive",kPa,0,500,601,611379,0.64,1000.00
Vacuum pump,oil diffusion,oil diffusion,m3/s,0,1.4,1309,4200,0.22,1000.00
Vacuum pump,oil diffusion (large),oil diffusion (large),m3/s,1.4,17,4200,38752,0.89,1000.00
Pump,"centrifugal, AVS, 1800 rpm, 15 m head, radial flow, cast iron with housing, impeller, mechanical seal, base plate, coupling but excluding motor","centrifugal, AVS, 1800 rpm, 15 m head, radial flow, cast iron with housing, impeller, mechanical seal, base plate, coupling but excluding motor",kW,0.2,16,2240,7000,0.26,1000.00
Pump,"centrifugal, AVS, 1800 rpm, 15 m head, radial flow, cast iron with housing, impeller, mechanical seal, base plate, coupling but excluding motor","centrifugal, AVS, 1800 rpm, 15 m head, radial flow, cast iron with housing, impeller, mechanical seal, base plate, coupling but excluding motor",kW,16,400,7000,27939,0.43,1000.00
Pump,"centrifugal, AVS, 1800 rpm, 15 m head, radial flow, cast iron with housing, impeller, mechanical seal, base plate, coupling and TEFC motor","centrifugal, AVS, 1800 rpm, 15 m head, radial flow, cast iron with housing, impeller, mechanical seal, base plate, coupling and TEFC motor",kW,1,23,3827,9500,0.29,1000.00
Pump,"centrifugal, heavy duty, non-clog, 1800 rpm, cast iron with base plate, coupling and mechanical seal excluding motor","centrifugal, heavy duty, non-clog, 1800 rpm, cast iron with base plate, coupling and mechanical seal excluding motor",kW,0.8,19,6352,9000,0.11,1000.00
Pump,"centrifugal, heavy duty, non-clog, 1800 rpm, cast iron with base plate, coupling and mechanical seal excluding motor (large)","centrifugal, heavy duty, non-clog, 1800 rpm, cast iron with base plate, coupling and mechanical seal excluding motor (large)",kW,19,150,9000,87360,1.1,1000.00
Pump,"inline, API-610, vertical, 1.1 MPa, cast iron with base plate, coupling, TEFC motor","inline, API-610, vertical, 1.1 MPa, cast iron with base plate, coupling, TEFC motor",kW,0.5,122,3367,15692,0.28,1000.00
Pump,"axial flow, steel, with impeller, mechanical seal, base plate, coupling, and TEFC motor","axial flow, steel, with impeller, mechanical seal, base plate, coupling, and TEFC motor",m3/s,0.1,0.7,139525,150000,0.03,1000.00
Pump,"axial flow, steel, with impeller, mechanical seal, base plate, coupling, and TEFC motor (large)","axial flow, steel, with impeller, mechanical seal, base plate, coupling, and TEFC motor (large)",m3/s,0.7,17,150000,1227254,0.65,1000.00
Pump,"peripheral/turbine, steel with impeller, mechanical seal, base plate, coupling, TEFC motor","peripheral/turbine, steel with impeller, mechanical seal, base plate, coupling, TEFC motor",kW,1,500,15646,308960,0.48,1000.00
Pump,"reciprocating, piston or plunger type, cast iron, 1.1 MPa suction pressure, 150-300 rpm with exit pressure less than 7 Mpa with base plate, gears and TEFC motor","reciprocating, piston or plunger type, cast iron, 1.1 MPa suction pressure, 150-300 rpm with exit pressure less than 7 Mpa with base plate, gears and TEFC motor",kW,0.5,5,30000,43363,0.16,1000.00
Pump,"reciprocating, piston or plunger type, cast iron, 1.1 MPa suction pressure, 150-300 rpm with exit pressure less than 7 Mpa with base plate, gears and TEFC motor (large)","reciprocating, piston or plunger type, cast iron, 1.1 MPa suction pressure, 150-300 rpm with exit pressure less than 7 Mpa with base plate, gears and TEFC motor (large)",kW,300,10000,17924,96478,0.48,1000.00
Pump,"reciprocating, piston or plunger type, cast iron, 1.1 MPa suction pressure, 150-300 rpm with exit pressure less than 7 Mpa with base plate, gears, excluding motor","reciprocating, piston or plunger type, cast iron, 1.1 MPa suction pressure, 150-300 rpm with exit pressure less than 7 Mpa with base plate, gears, excluding motor",kW,0.5,200,2633,59353,0.52,1000.00
Pump,"reciprocating metering pump, 316 s/s with drive, base plate, gears and TEFC motor","reciprocating metering pump, 316 s/s with drive, base plate, gears and TEFC motor",kW,0.2,3,3615,36128,0.85,1000.00
Pump,"diaphragm: cast iron with drive, base plate, gears and TEFC motor","diaphragm: cast iron with drive, base plate, gears and TEFC motor",kW,6,300,5620,30218,0.43,1000.00
Pump,"diaphragm: 316 s/s with PTFE diaphragm, base plate, gears and TEFC motor","diaphragm: 316 s/s with PTFE diaphragm, base plate, gears and TEFC motor",kW,0.2,3,6123,37579,0.67,1000.00
Pump,"rotary screw moyno, cast iron with pump, base plate, V-belt drive but excluding motor","rotary screw moyno, cast iron with pump, base plate, V-belt drive but excluding motor",L/s,1,5.5,4264,10000,0.5,1000.00
Pump,"sliding vane, cast iron with pump, base plate, hear box or coupling but excluding motor","sliding vane, cast iron with pump, base plate, hear box or coupling but excluding motor",L/s,0.4,120,894,64474,0.75,1000.00
Pump,"Archimedes screw, c/s with 38 degrees inclination with shaft and flights, upper and lower bearing mounts, V belt drive and TEFC motor excluding concrete channel and influent and effluent basins","Archimedes screw, c/s with 38 degrees inclination with shaft and flights, upper and lower bearing mounts, V belt drive and TEFC motor excluding concrete channel and influent and effluent basins",kW,0.6,100,31293,608303,0.58,1000.00
Conveyor,"belt, belt speed 1 m/s handling solids of density 1.6 Mg/m3 with steel welded frame, head and tail pulley, troughing idlers, roller bearings, cold rolled steel shafters, four ply, 28 oz belt excluding motor, drive and supports","belt, belt speed 1 m/s handling solids of density 1.6 Mg/m3 with steel welded frame, head and tail pulley, troughing idlers, roller bearings, cold rolled steel shafters, four ply, 28 oz belt excluding motor, drive and supports",Mg/h*m2.5,5000,50000000,7278,45921,0.2,1000.00
Bucket elevator,"handling solids of density 1.6 Mg/m3 with single vertical leg, casing, chain or belt, sprockets, malleable iron buckets, roller bearings, screw takeup, boot and head excluding motor and drive","handling solids of density 1.6 Mg/m3 with single vertical leg, casing, chain or belt, sprockets, malleable iron buckets, roller bearings, screw takeup, boot and head excluding motor and drive",Mg/h*m,10,3000,3536,61237,0.5,1000.00
Conveyor,"screw, c/s with trough, cover, screw flights, bearings, inlets and outlets excluding motor, drive and supports","screw, c/s with trough, cover, screw flights, bearings, inlets and outlets excluding motor, drive and supports",Mg/h*m,5000,500000,36000,299435,0.46,1000.00
Conveyor,"oscillating, excluding motor and drive","oscillating, excluding motor and drive",m2,2,100,1455,55324,0.93,1000.00
Conveyor,roller,roller,m*cm,10,500,600,20287,0.9,1000.00
Conveyor,"pneumatic, dilute phase, low pressure or vacuum, c/s duct excluding blower and motor","pneumatic, dilute phase, low pressure or vacuum, c/s duct excluding blower and motor",m3,0.2,2.2,102133,145000,0.14,1000.00
Conveyor,"pneumatic, dilute phase, low pressure or vacuum, c/s duct excluding blower and motor (large)","pneumatic, dilute phase, low pressure or vacuum, c/s duct excluding blower and motor (large)",m3,2.2,15,145000,300720,0.38,1000.00
Hoist,"medium lift, heavy duty with push trolley, multiple disc brakes including motor and drive","medium lift, heavy duty with push trolley, multiple disc brakes including motor and drive",Mg,4.5,26,19493,36654,0.36,1000.00
Hoist,"medium lift, heavy duty with push trolley, multiple disc brakes including motor and drive (large)","medium lift, heavy duty with push trolley, multiple disc brakes including motor and drive (large)",Mg,26,45,483192,1088213,1.48,1000.00
Hoist,"long lift with motor driven trolley, cab or floor controlled, variable speed, mechanical or electric load braking, double reeving, single or twin load hooks, overload relays, AC current","long lift with motor driven trolley, cab or floor controlled, variable speed, mechanical or electric load braking, double reeving, single or twin load hooks, overload relays, AC current",Mg,2,20,28686,189524,0.82,1000.00
Crane,"bridge type, with bridge, crane trolley, controls, motors, floor operated at 0.75 m/s, AC current","bridge type, with bridge, crane trolley, controls, motors, floor operated at 0.75 m/s, AC current",Mg,3,15,127764,185000,0.23,1000.00
Crane,"bridge type, with bridge, crane trolley, controls, motors, floor operated at 0.75 m/s, AC current (large)","bridge type, with bridge, crane trolley, controls, motors, floor operated at 0.75 m/s, AC current (large)",Mg,15,20,185000,217339,0.56,1000.00
Feeder,"stay or rotary, hot rolled steel excluding motor","stay or rotary, hot rolled steel excluding motor",cm,15,30,5683,8149,0.52,1000.00
Feeder,"apron, with motor and drive excluding hopper","apron, with motor and drive excluding hopper",m3,0.8,25,75434,141803,0.18,1000.00
Feeder,vibratory with motor and drive,vibratory with motor and drive,m2,0.4,1.8,10626,27000,0.62,1000.00
Feeder,vibratory with motor and drive (large),vibratory with motor and drive (large),m2,1.8,8,27000,139304,1.1,1000.00
Duct (cost per meter),duct,cross-section area,mï¿½,1,10,336,1138,0.53,1000.00
Pipe (cost per meter),pipe,diameter,cm,10,70,47,621,1.33,1000.00
Gas diesel engine,gas diesel engine,power,kW,20,50000,27136,16590367,0.82,1000.00
Electric motor,"induction, squirrel cage, 3 phase, AC, TEFC, 1800 rpm excluding starter, gearing","induction, squirrel cage, 3 phase, AC, TEFC, 1800 rpm excluding starter, gearing",kW,0.3,1500,44,512727,1.1,1000.00
Electric motor,"induction, wound rotor, 3 phase, AC, open drip proof, 1800 rpm, excluding starter","induction, wound rotor, 3 phase, AC, open drip proof, 1800 rpm, excluding starter",kW,8,150,1455,22224,0.93,1000.00
Electric motor,"synchronous, AC open drip proof, 1800 rpm excluding gears","synchronous, AC open drip proof, 1800 rpm excluding gears",kW,350,7000,64089,1137028,0.96,1000.00
Electric motor,"synchronous, open drip proof, AC, 1200 rpm excluding gears","synchronous, open drip proof, AC, 1200 rpm excluding gears",kW,500,7000,77308,655523,0.81,1000.00
Electric motor,"gear reduced TEFC, 1800 rpm plus gear reducer to give fixed output rpm","gear reduced TEFC, 1800 rpm plus gear reducer to give fixed output rpm",kW,0.4,1.8,1297,1800,0.2,1000.00
Electric motor,"gear reduced TEFC, 1800 rpm plus gear reducer to give fixed output rpm","gear reduced TEFC, 1800 rpm plus gear reducer to give fixed output rpm",kW,1.8,15,1800,5537,0.53,1000.00
Electric motor,"variable speed TEFC, 1800 rpm plus V-belt unit for speed control 2/1 to 5/1 at 3480, 520 and 30 rpm", at 1800 rpm,kW,0.4,7.5,3198,22052,0.63,1000.00
Drive,"gear unit, general, single, double, triple reduction on concentric, offset or vertical right angle drives, excluding lubrication system and motor",w/ reduction ratio,kW,3,50,1692,6000,0.45,1000.00
Drive,"gear unit, general, single, double, triple reduction on concentric, offset or vertical right angle drives, excluding lubrication system and motor (large)",w/ reduction ratio,kW,50,1500,6000,76912,0.75,1000.00
Drive,"gear unit, medium duty, single reduction 20/1 to 50/1 excluding lubrication system and motor (large)",w/ reduction ratio,kW,3,180,581,5300,0.54,1000.00
Drive,"gear unit, medium duty, single reduction 20/1 to 50/1 excluding lubrication system and motor (large)",w/ reduction ratio,kW,180,1500,5300,297736,1.9,1000.00
Turbine,"steam, noncondensing, steam 2 MPa, 100ï¿½150 degrees Celsius superheat, backpressure less than 0.7 MPa, wheel diameter about 60 cm excluding gears and lubrication","steam, noncondensing, steam 2 MPa, 100ï¿½150 degrees Celsius superheat, backpressure less than 0.7 MPa, wheel diameter about 60 cm excluding gears and lubrication",kW,7,3000,13241,291234,0.51,1000.00
Turbine,"steam, noncondensing, steam 2 MPa, 100ï¿½150 degrees Celsius superheat, backpressure less than 0.7 MPa, wheel diameter about 60 cm excluding gears and lubrication (single valve, single stage)","steam, noncondensing, steam 2 MPa, 100ï¿½150 degrees Celsius superheat, backpressure less than 0.7 MPa, wheel diameter about 60 cm excluding gears and lubrication (single valve, single stage)",kW,700,15000,409599,1677321,0.46,1000.00
Turbine,"steam, noncondensing, steam 2 MPa, 100ï¿½150 degrees Celsius superheat, backpressure less than 0.7 MPa, wheel diameter about 60 cm excluding gears and lubrication (multivalve, multistage)","steam, noncondensing, steam 2 MPa, 100ï¿½150 degrees Celsius superheat, backpressure less than 0.7 MPa, wheel diameter about 60 cm excluding gears and lubrication (multivalve, multistage)",kW,1500,15000,980730,2195581,0.35,1000.00
Turbine,"gas driven, excluding equipment needed for gas supply","gas driven, excluding equipment needed for gas supply",kW,1000,30000,551892,8385925,0.8,1000.00
Turbine,"gas combustion, inlet air system, compressor, combustion chamber, firing, turbine, starter and exhaust system","gas combustion, inlet air system, compressor, combustion chamber, firing, turbine, starter and exhaust system",kW,650,15000,1302353,7319420,0.55,1000.00
Generator,"electric power, steam raising plus turbine, for steam at 1ï¿½1.7 MPa or for gas driven without regenerator","electric power, steam raising plus turbine, for steam at 1ï¿½1.7 MPa or for gas driven without regenerator",kW,3000,50000,1993149,15541371,0.73,1000.00
AC-DC convertor,"uni-converter, current single direction; voltage, either. Input 3 phase AC 230/460/575. NEMA 1","uni-converter, current single direction; voltage, either. Input 3 phase AC 230/460/575. NEMA 2",kW,10,80,20465,72761,0.61,1000.00
Furnace,"box-type, fired, horizontal radiant c/s tubes for process service",heat absorbed,MW,2,100,369817,11119654,0.87,1000.00
Furnace,"cylindrical-type, fired, high grade c/s in both radiant and convection sections, vertical, 3.6 MPa",heat absorbed,MW,0.5,100,149685,7549879,0.74,1000.00
Shell and tube,"floating head, 1.1 MPa, c/s in c/s shell, bare tube","floating head, 1.1 MPa, c/s in c/s shell, bare tube",m2,20,2000,22327,587259,0.71,1000.00
Spiral plate (Rosenblad),c/s and 350 kPa,c/s and 350 kPa,m2,1,100,10165,88536,0.47,1000.00
Spiral tube heat exchanger (Heliflow),c/s tube,c/s tube,m2,0.3,0.7,707,1100,0.43,1000.00
Exchanger,"plate coil, c/s plate with double embossed serpentine or header coil on plate","plate coil, c/s plate with double embossed serpentine or header coil on plate",m2,0.5,2.5,325,600,0.38,1000.00
Exchanger,"plate coil, c/s plate with double embossed serpentine or header coil on plate (large)","plate coil, c/s plate with double embossed serpentine or header coil on plate (large)",m2,2.5,10,600,2645,1.07,1000.00
Heat exchanger,"plate and frame, 316 s/s, 0.7 MPa","plate and frame, 316 s/s, 0.7 MPa",m2,10,600,26865,384574,0.65,1000.00
Heat exchanger,"cubic/monolithic, graphite in c/s shell","cubic/monolithic, graphite in c/s shell",m2,1,20,3706,31095,0.71,1000.00
Heat exchanger,"double pipe, c/s inside c/s with inner tube fixed","double pipe, c/s inside c/s with inner tube fixed",m2,0.1,20,18635,39126,0.14,1000.00
Heat exchanger,"air cooled, FOB cost for c/s 1 MPa including bundle, heater, fan, explosion-proof motor, case but excluding foundation, water trim cooler, fireproofing","air cooled, FOB cost for c/s 1 MPa including bundle, heater, fan, explosion-proof motor, case but excluding foundation, water trim cooler, fireproofing",m2,10,10000,28517,421792,0.39,1000.00
Heat exchanger,"coil, in tank, c/s coil excluding tank","coil, in tank, c/s coil excluding tank",m2,0.1,30,291,10007,0.62,1000.00
Heat exchanger,"ramen/lamella plate fin, brazed alumina, pressure less than 7 MPa","ramen/lamella plate fin, brazed alumina, pressure less than 7 MPa",m2,100,1300,20068,48000,0.34,1000.00
Heat exchanger,"ramen/lamella plate fin, brazed alumina, pressure less than 7 MPa (large)","ramen/lamella plate fin, brazed alumina, pressure less than 7 MPa (large)",m2,1300,10000,48000,369231,1,1000.00
Heat exchanger,"thermal screw, single screw, c/s with screw and trough but excluding motor and drive","thermal screw, single screw, c/s with screw and trough but excluding motor and drive",m2,1,7.5,50021,65000,0.13,1000.00
Heat exchanger,"thermal screw, single screw, c/s with screw and trough but excluding motor and drive (large)","thermal screw, single screw, c/s with screw and trough but excluding motor and drive (large)",m2,7.5,40,65000,239868,0.78,1000.00
Heat exchanger,"bayonet, c/s","bayonet, c/s",m2,0.1,1.3,490,930,0.25,1000.00
Heat exchanger,"bayonet, c/s (large)","bayonet, c/s (large)",m2,1.3,12,930,17875,1.33,1000.00
Cooling tower,"induced or forced draft, approach temperature 5.5 hC, wet bulb temperature 23.8 hC, cooling range 5.5 hC. Package with fans, motors, integral piping, erection and labor excluding foundations, basin, water pumps, external and distribution piping","induced or forced draft, approach temperature 5.5 hC, wet bulb temperature 23.8 hC, cooling range 5.5 hC. Package with fans, motors, integral piping, erection and labor excluding foundations, basin, water pumps, external and distribution piping",L/s,100,1000,120000,1200000,1,1000.00
Cooling tower,"induced or forced draft, approach temperature 5.5 hC, wet bulb temperature 23.8 hC, cooling range 5.5 hC. Package with fans, motors, integral piping, erection and labor excluding foundations, basin, water pumps, external and distribution piping (large)","induced or forced draft, approach temperature 5.5 hC, wet bulb temperature 23.8 hC, cooling range 5.5 hC. Package with fans, motors, integral piping, erection and labor excluding foundations, basin, water pumps, external and distribution piping (large)",L/s,1000,12000,1200000,5886501,0.64,1000.00
Barometric condenser,"direct contact, c/s multijet spray type excluding hot well","direct contact, c/s multijet spray type excluding hot well",L/s,3.3,600,5526,125373,0.6,1000.00
